title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Asst Professor ACD YR,Molecular Bio&Biochem,Busch,102491,135085,9/1/2012,7,299
Professor ACD YR,Chem & Chemical Biology,Busch,161126,134909,9/1/2001,2,300
Asst Professor ACD YR,Physics & Astronomy,Busch,102282,134841,1/1/2015,7,300
Professor ACD YR,Art History,College Av,135743,134487,9/1/2005,1,303
Professor ACD YR,History,College Av,220000,134444,9/1/2017,4,303
Assoc Professor ACD YR,Women's & Gender Studies,Douglass,125717,134126,9/1/1981,2,305
Professor ACD YR,Physics & Astronomy,Busch,134585,134078,7/1/1971,5,305
Professor ACD YR,Chem & Chemical Biology,Busch,135552,133969,9/1/1977,7,305
Assoc Professor ACD YR,Asian Language & Cultures,College Av,123612,133889,9/1/2011,1,306
Assoc Professor ACD YR,English,College Av,135875,133734,1/1/2008,10,306
Assoc Professor ACD YR,Molecular Bio&Biochem,Busch,115965,133616,9/1/2011,9,307
Professor ACD YR,History,College Av,127546,133558,9/1/2011,6,308
Professor ACD YR,"Afri,Mdle E&So Asn Lng&Lit",College Av,129410,133162,9/1/2000,7,309
Assoc Professor ACD YR,Genetics,Busch,126844,132975,9/1/2011,4,310
Assoc Professor ACD YR,Physics & Astronomy,Busch,115346,132860,9/1/2011,10,310
Professor ACD YR,Spanish & Portuguese,College Av,134126,132625,9/1/1999,1,312
Professor ACD YR,Spanish & Portuguese,College Av,134087,132436,9/1/1999,6,312
Professor ACD YR,Mathematics,Busch,135147,132299,7/1/1994,5,313
Professor ACD YR,Spanish & Portuguese,College Av,135136,132186,1/1/2001,8,313
Assoc Professor ACD YR,History,College Av,133155,131779,9/1/2008,10,314
Professor ACD YR,Molecular Bio&Biochem,Busch,119926,131659,9/1/2001,8,315
Professor ACD YR,Psychology,Busch,120279,131413,9/1/1975,1,317
Assoc Professor ACD YR,Chem & Chemical Biology,Busch,119759,131405,9/1/1991,2,317
Asst Professor ACD YR,Physics & Astronomy,Busch,110009,131339,9/1/2013,7,317
Assoc Professor ACD YR,Economics,College Av,131286,131034,9/1/1999,2,319
Assoc Professor ACD YR,Physics & Astronomy,Busch,114522,131018,9/1/2011,5,319
Assoc Professor ACD YR,History,College Av,122827,130848,9/1/1983,9,319
Professor ACD YR,Jewish Studies,College Av,107744,130681,9/1/2000,5,320
Professor ACD YR,Mathematics,Busch,106315,129926,9/1/2000,2,323
Asst Professor ACD YR,Genetics,Busch,97989,129874,1/1/2016,6,323
Asst Professor ACD YR,Computer Science,Busch,119095,129751,9/1/2015,1,324
Professor ACD YR,History,College Av,131396,129650,9/1/1999,6,324
Assoc Professor ACD YR,Chem & Chemical Biology,Busch,118654,129294,9/1/1991,4,326
Professor ACD YR,History,College Av,130513,129142,9/1/1992,8,326
Professor ACD YR,History,College Av,129531,129033,9/1/1988,7,327
Assoc Professor ACD YR,Geography,Livingston,111642,128766,9/1/2012,4,329
Professor ACD YR,Molecular Bio&Biochem,Busch,129060,128493,7/1/1970,1,331
Asst Professor ACD YR,Computer Science,Livingston,116096,127918,9/1/2015,9,333
Professor ACD YR,Psychology,Busch,129724,127841,9/1/2001,6,334
Asst Professor ACD YR,Cell Bio & Neurosci,Busch,106667,127723,1/1/2013,10,334
Professor ACD YR,Sociology,Douglass,122708,127711,1/1/1999,1,335
Professor ACD YR,American Studies,Douglass,128908,127663,9/1/1973,2,335
Professor ACD YR,Linguistics,College Av,127590,127346,9/1/1988,7,336
Asst Professor ACD YR,Psychology,Busch,93317,127138,1/1/2015,7,337
Asst Professor ACD YR,Computer Science,Busch,114380,126870,9/1/2015,3,339
Professor ACD YR,Women's & Gender Studies,Douglass,124214,126596,9/1/1988,4,341
Assoc Professor ACD YR,Psychology,Busch,127628,126566,9/1/2007,6,341
Asst Professor ACD YR,Psychology,Busch,96706,126147,9/1/2015,3,344
Assoc Professor ACD YR,History,College Av,114411,125703,7/1/1971,10,346
Assoc Professor ACD YR,Psychology,Livingston,102850,125509,9/1/1987,1,348
Professor ACD YR,Physics & Astronomy,Busch,126337,125099,9/1/1977,3,350
Professor ACD YR,Mathematics,Busch,126634,125082,9/1/1995,4,350
Professor ACD YR,History,College Av,127576,124841,9/1/2010,1,352
Assoc Professor ACD YR,Jewish Studies,College Av,120034,124773,9/1/1998,3,352
Professor ACD YR,Earth & Planetary Sciences,Busch,125777,124610,1/1/2000,4,353
Assoc Professor ACD YR,History,College Av,126076,124589,9/1/1992,7,353
Professor ACD YR,Economics,College Av,125462,124450,9/1/1975,2,354
Assoc Professor ACD YR,Geography,Livingston,110761,123853,1/1/2001,7,357
Professor ACD YR,Mathematics,Busch,139525,123740,9/1/1999,1,358
Assoc Professor ACD YR,Molecular Bio&Biochem,Busch,112124,123433,9/1/1992,8,358
Assoc Professor ACD YR,Classics,College Av,105115,123406,9/1/2008,9,358
Professor ACD YR,Physics & Astronomy,Busch,132042,123274,9/1/2006,9,359
Assoc Professor ACD YR,Cell Bio & Neurosci,Busch,125509,123158,9/1/2008,3,360
Asst Professor ACD YR,Earth & Planetary Sciences,Busch,99613,123099,1/1/2016,6,360
Asst Professor ACD YR,Psychology,Busch,99289,123073,9/1/2012,9,360
Professor ACD YR,Linguistics,College Av,110482,122905,9/1/1989,3,361
Assoc Professor ACD YR,Sociology,Douglass,124400,122902,7/1/1980,4,361
Assoc Professor ACD YR,English,College Av,130748,122654,9/1/2013,5,362
Professor ACD YR,Linguistics,College Av,131590,122473,1/1/1990,9,362
Professor ACD YR,Chem & Chemical Biology,Busch,123324,122420,9/1/1979,2,363
Asst Professor ACD YR,Chem & Chemical Biology,Busch,101870,122396,1/1/2016,5,363
Professor ACD YR,Earth & Planetary Sciences,Busch,110565,122365,9/1/2002,6,363
Professor ACD YR,Women's & Gender Studies,Douglass,128000,122344,9/1/2000,9,363
Professor ACD YR,French,College Av,99197,122274,9/1/1986,5,365
Professor ACD YR,Anthropology,Douglass,129301,122260,9/1/1999,6,365
Professor ACD YR,Earth & Planetary Sciences,Busch,117231,122140,2/1/1999,2,366
Professor ACD YR,Physics & Astronomy,Busch,123262,122105,1/1/1988,6,366
Assoc Professor ACD YR,Economics,College Av,126195,122100,1/1/2003,7,366
Professor ACD YR,Women's & Gender Studies,Douglass,123317,121876,9/1/1988,7,367
Assoc Professor ACD YR,Women's & Gender Studies,Douglass,125000,121027,9/1/2007,6,372
Assoc Professor ACD YR,English,College Av,121742,121011,9/1/1989,9,372
Asst Professor ACD YR,Physics & Astronomy,Busch,101289,121002,9/1/2013,10,372
Assoc Professor ACD YR,Cell Bio & Neurosci,Busch,107360,120991,1/1/1987,2,373
Assoc Professor ACD YR,English,College Av,118289,120563,9/1/1980,9,375
Professor ACD YR,Economics,College Av,240817,120409,7/1/2004,4,376
Professor ACD YR,"Germn,Russ&E Euro Lang&Lit",College Av,126441,120382,9/1/2006,5,376
Professor ACD YR,Psychology,Livingston,110304,120366,7/1/1972,6,376
Professor ACD YR,Psychology,Livingston,120499,120268,9/1/1974,1,377
Asst Professor ACD YR,Chem & Chemical Biology,Busch,99910,120148,9/1/2016,7,377
Professor ACD YR,Criminal Justice,Livingston,121081,119958,9/1/1993,7,378
Assoc Professor ACD YR,English,College Av,121680,119703,9/1/2005,6,380
Professor ACD YR,French,College Av,121083,119669,9/1/1978,1,381
Professor ACD YR,Latino & Hispan Carib Stds,Livingston,200100,119606,9/1/2008,5,381
Assoc Professor ACD YR,History,College Av,121907,119565,9/1/2001,7,381
Professor ACD YR,Mathematics,Busch,121329,119547,9/1/2007,10,381
Professor ACD YR,Religion,Douglass,120266,119538,9/1/2001,1,382
Assoc Professor ACD YR,Women's & Gender Studies,Douglass,114835,119167,9/1/2001,1,384
Professor ACD YR,Chem & Chemical Biology,Busch,106689,119047,9/1/1980,10,384
Assoc Professor ACD YR,Molecular Bio&Biochem,Busch,120263,118916,9/1/1988,5,385
Assoc Professor ACD YR,Mathematics,Busch,116550,118908,9/1/2012,6,385
Professor ACD YR,Italian,College Av,111828,118868,9/1/1996,9,385
Professor ACD YR,Anthropology,Douglass,120445,118797,1/1/2000,1,386
Asst Professor ACD YR,Computer Science,Busch,108242,118573,9/1/2012,2,387
Asst Professor ACD YR,Chem & Chemical Biology,Busch,97000,118372,1/1/2017,1,388
Asst Professor ACD YR,Genetics,Busch,97000,118370,9/1/2016,2,388
Assoc Professor ACD YR,Africana Studies,Livingston,119677,118351,9/1/1992,3,388
Professor ACD YR,French,College Av,114529,118072,9/1/1987,6,389
Professor ACD YR,Anthropology,Douglass,118693,118049,9/1/1977,9,389
Assoc Professor ACD YR,English,College Av,113783,117602,9/1/2009,7,392
Assoc Professor ACD YR,Psychology,Livingston,116567,117288,6/30/2011,9,394
Professor ACD YR,Earth & Planetary Sciences,Busch,118568,117183,9/1/1980,5,396
Assoc Professor ACD YR,Spanish & Portuguese,College Av,116814,116590,9/1/1984,10,399
Assoc Professor ACD YR,Latino & Hispan Carib Stds,Livingston,111195,116589,9/1/2009,1,400
Assoc Professor ACD YR,Kinesiology And Health,Douglass,99419,116386,9/1/2009,10,401
Assoc Professor ACD YR,English,College Av,117371,115652,9/1/1999,6,405
Assoc Professor ACD YR,Latino & Hispan Carib Stds,Livingston,116691,115611,9/1/2011,10,405
Professor ACD YR,French,College Av,111909,115445,9/1/1981,6,407
Professor ACD YR,Sociology,Douglass,129271,115401,9/1/1988,10,407
Professor ACD YR,Italian,College Av,128369,115339,9/1/1974,5,408
Professor ACD YR,Mathematics,Busch,103100,115243,9/1/1993,1,409
Assoc Professor ACD YR,American Studies,Douglass,116556,115239,9/1/1977,2,409
Asst Professor ACD YR,Psychology,Busch,97551,114916,1/1/2014,3,411
Asst Professor ACD YR,Molecular Bio&Biochem,Busch,104712,114743,9/1/2012,9,411
Assoc Professor ACD YR,Africana Studies,Livingston,113793,114607,9/1/2010,4,412
Professor ACD YR,Italian,College Av,112661,114389,9/1/1986,10,413
Professor ACD YR,History,College Av,128379,114249,9/1/1991,5,414
Assoc Professor ACD YR,Spanish & Portuguese,College Av,103346,114089,9/1/1993,10,415
Assoc Professor ACD YR,English,College Av,114136,113419,7/1/1971,6,420
Asst Professor ACD YR,Mathematics,Busch,96663,113378,9/1/2012,8,420
Assoc Professor ACD YR,English,College Av,130000,113336,9/1/2006,2,421
Assoc Professor ACD YR,Classics,College Av,106400,113160,9/1/2007,10,421
Asst Professor ACD YR,Earth & Planetary Sciences,Busch,103374,112674,9/1/2013,1,425
Professor ACD YR,English,College Av,112860,112643,9/1/1998,5,425
Professor ACD YR,Art History,College Av,120115,112454,9/1/2006,1,427
Assoc Professor ACD YR,History,College Av,114334,112372,9/1/2003,4,427
Assoc Professor ACD YR,History,College Av,113478,112140,9/1/2011,5,429
Professor ACD YR,Art History,College Av,112233,112018,9/1/1988,7,429
Assoc Professor ACD YR,Mathematics,Busch,112012,111548,9/1/1983,9,431
Professor ACD YR,Art History,College Av,99228,111394,9/1/1984,10,432
Assoc Professor ACD YR,Art History,College Av,113279,111318,9/1/1999,6,433
Assoc Professor ACD YR,Sociology,College Av,111388,111175,9/1/1986,8,434
Assoc Professor ACD YR,Cell Bio & Neurosci,Busch,113113,110904,9/1/1998,2,437
Assoc Professor ACD YR,History,College Av,112488,110280,9/1/2011,8,442
Assoc Professor ACD YR,"Germn,Russ&E Euro Lang&Lit",College Av,106653,110245,9/1/1997,5,443
Professor ACD YR,History,College Av,220000,110000,9/1/2017,4,445
Assoc Professor ACD YR,Latino & Hispan Carib Stds,Livingston,101939,109772,9/11/2007,6,446
Assoc Professor ACD YR,Italian,College Av,103690,109703,9/1/2007,1,447
Assoc Professor ACD YR,English,College Av,110747,109591,9/1/1998,10,447
Assoc Professor ACD YR,History,College Av,106963,109517,9/1/2012,7,448
Assoc Professor ACD YR,Spanish & Portuguese,College Av,103670,109467,9/1/2012,3,449
Assoc Professor ACD YR,Latino & Hispan Carib Stds,Livingston,111057,109450,9/1/2007,4,449
Assoc Professor ACD YR,Art History,College Av,101352,109371,9/1/2007,10,449
Asst Professor ACD YR,Statistics,Busch,114476,109076,7/1/2013,2,452
Assoc Professor ACD YR,Asian Language & Cultures,College Av,98417,108700,9/1/2008,4,454
Professor ACD YR,Mathematics,Busch,101535,108508,9/1/2010,4,455
Professor ACD YR,Earth & Planetary Sciences,Busch,109488,108473,9/1/1990,9,455
Assoc Professor ACD YR,Spanish & Portuguese,College Av,98822,108292,9/1/2008,9,457
