title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Assoc Professor ACD YR,Smlr-Human Resource Management,Livingston,170552,163303,9/1/2010,7,209
Assoc Professor ACD YR,Sas - Computer Science,Busch,141260,163295,9/1/1978,8,209
Professor ACD YR,Sebs-Marine & Coastal Sciences,Cook,140659,163142,8/1/1992,5,210
Professor ACD YR,Gse - Education Psychology,College Av,108632,162975,9/1/2015,7,210
Assoc Professor ACD YR,Fasn-Math & Computer Science,Newark,118348,162927,9/1/2015,8,210
Professor ACD YR,Sas - Linguistics,College Av,159365,162767,9/1/1990,2,211
Asst Professor ACD YR,School Of Business - Cmd,Camden,135455,162579,9/1/2016,7,211
Professor ACD YR,Sas - History,College Av,163126,162468,9/1/1974,10,211
Professor ACD YR,Sas - Computer Science,Busch,165535,162430,9/1/2002,1,212
Asst Professor ACD YR,Sas - Computer Science,Busch,122554,162270,1/1/2015,8,212
Professor ACD YR,Sebs-Marine & Coastal Sciences,Cook,123130,162143,11/21/1994,3,213
Assoc Professor ACD YR,Sebs - Nutritional Sciences,Douglass,116314,161979,9/1/2001,6,213
