title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Assoc Professor ACD YR,School Of Social Work,College Av,121106,152264,9/1/1998,10,243
Assoc Professor ACD YR,Genetics,Busch,115244,151658,5/1/2007,3,245
Professor ACD YR,Materials Science & ,Busch,152717,151597,3/1/1989,5,245
Professor ACD YR,English,College Av,169857,151572,9/1/1993,6,245
Assoc Professor ACD YR,Statistics,Busch,123586,151504,9/1/2011,10,245
Assoc Professor ACD YR,Computer Science,Busch,144399,151433,9/1/1999,1,246
Assoc Professor ACD YR,Human Ecology,Cook,136955,151234,9/1/2010,10,246
Professor ACD YR,History,College Av,132924,151041,9/1/2001,1,248
Professor ACD YR,Chem & Chemical Biology,Busch,137880,150936,9/1/1997,4,248
Professor ACD YR,Chem & Chemical Biology,Busch,141162,150891,7/1/1968,5,248
Professor ACD YR,Plant Biology & Pathology,Cook,152491,150710,9/1/1995,9,248
Professor ACD YR,Psychology,Livingston,152197,150230,9/1/1997,6,250
Professor ACD YR,Environmental Science,Cook,134962,150105,6/1/1980,8,250
Assoc Professor ACD YR,Philosophy,College Av,149072,150048,9/1/2013,10,250
Assoc Professor ACD YR,Journalism & Media Stds,College Av,115750,150033,9/1/2009,2,251
Assoc Professor ACD YR,"Eco,Evol& Natrl Resources",Cook,123850,149484,9/1/2009,9,252
Professor ACD YR,Political Science,Douglass,151109,149344,9/1/2006,4,253
Asst Professor ACD YR,Computer Science,Busch,122000,148877,1/1/2017,1,254
Professor ACD YR,Computer Science,Busch,150744,148624,9/1/1979,8,254
Professor ACD YR,English,College Av,171311,148447,9/1/1988,4,255
Assoc Professor ACD YR,Biomedical Engineering,Busch,122878,148440,9/1/2005,5,255
Asst Professor ACD YR,"Eco,Evol& Natrl Resources",Cook,112793,148335,9/1/2013,7,255
Professor ACD YR,Psychology,Livingston,149236,148132,9/1/1986,10,255
Assoc Professor ACD YR,Genetics,Busch,111518,147672,9/1/2009,9,256
Assoc Professor ACD YR,Marine & Coastal Sciences,Cook,112055,147579,9/1/2010,3,257
Professor ACD YR,Women's & Gender Studies,Douglass,148539,147507,7/1/1987,8,257
Assoc Professor ACD YR,School Of Social Work,College Av,120879,147420,9/1/2008,9,257
Asst Professor ACD YR,Computer Science,Busch,121200,147303,9/1/2016,3,258
Professor ACD YR,"Eco,Evol& Natrl Resources",Cook,141169,147221,7/1/2008,6,258
Assoc Professor ACD YR,Library & Info Science,College Av,108117,147218,7/1/2010,8,258
Professor ACD YR,Physics & Astronomy,Busch,134033,147174,9/23/2002,2,259
Professor ACD YR,History,College Av,150574,146890,6/1/2006,10,259
Professor ACD YR,Physics & Astronomy,Busch,148191,146862,9/1/2002,2,260
Professor ACD YR,English,College Av,164911,146773,9/1/1983,5,260
Professor ACD YR,Cell Bio & Neurosci,Busch,146977,146696,9/1/1984,10,260
Professor ACD YR,Physics & Astronomy,Busch,147846,146467,9/1/1977,5,261
Professor ACD YR,Molecular Bio&Biochem,Busch,146626,145837,9/1/1985,1,264
Assoc Professor ACD YR,Kinesiology And Health,Douglass,120000,145702,5/19/2003,8,264
Asst Professor ACD YR,Economics,College Av,132405,145665,9/1/2016,10,264
Assoc Professor ACD YR,English,College Av,145882,145602,9/1/1984,1,265
Professor ACD YR,Library & Info Science,College Av,133204,145347,9/1/2004,7,265
Assoc Professor ACD YR,Environmental Science,Cook,110375,145127,9/1/2006,7,266
Assoc Professor ACD YR,School Of Social Work,College Av,118634,145011,9/1/2007,8,266
Professor ACD YR,Food Science,Cook,131899,144853,1/1/1989,3,267
Professor ACD YR,Economics,College Av,122651,144581,9/1/1986,9,267
Professor ACD YR,Plant Biology & Pathology,Cook,146867,144347,7/1/1981,7,268
Professor ACD YR,Linguistics,College Av,131954,144185,9/1/1995,10,268
Professor ACD YR,Music,Douglass,135696,143801,9/1/1983,7,269
Assoc Professor ACD YR,Kinesiology And Health,Douglass,113443,143758,9/1/2002,8,269
Assoc Professor ACD YR,Elec & Computer ,Busch,113445,143467,9/1/2014,5,270
Professor ACD YR,English,College Av,143618,143343,9/1/1987,9,270
Professor ACD YR,Jewish Studies,College Av,139418,143224,9/1/2002,6,271
Assoc Professor ACD YR,Molecular Bio&Biochem,Busch,133608,142981,1/1/1997,8,272
Assoc Professor ACD YR,Chem & Biochem ,Busch,110370,142968,1/1/2010,9,272
Assoc Professor ACD YR,Physics & Astronomy,Busch,119402,142932,7/1/2006,2,273
Assoc Professor ACD YR,Philosophy,College Av,159294,142722,9/1/2015,6,273
Assoc Professor ACD YR,Mech & Aerospace ,Busch,125042,142672,9/1/2005,7,273
Professor ACD YR,Sociology,Douglass,127835,142578,1/1/1989,9,273
Assoc Professor ACD YR,Statistics,Busch,143430,142471,7/1/2013,10,273
Professor ACD YR,Sociology,Douglass,135266,142144,9/1/2001,6,274
Professor ACD YR,Nutritional Sciences,Cook,142202,141729,7/1/1990,2,275
Professor ACD YR,Genetics,Busch,142643,141666,7/1/1970,6,275
Professor ACD YR,Computer Science,Busch,143339,141665,9/1/1983,7,275
Asst Professor ACD YR,Cell Bio & Neurosci,Busch,108558,141643,1/1/2012,8,275
Assoc Professor ACD YR,Psychology,Livingston,139394,141375,9/1/2005,4,276
Professor ACD YR,Mathematics,Busch,127510,141370,9/1/2005,5,276
Professor ACD YR,Elec & Computer ,Busch,141937,141370,1/1/1988,6,276
Assoc Professor ACD YR,Africana Studies,Livingston,142935,141366,9/1/1993,7,276
Professor ACD YR,Philosophy,College Av,129812,141293,7/1/1971,2,277
Professor ACD YR,Art History,College Av,137751,141292,9/1/1997,3,277
Professor ACD YR,English,College Av,142795,141276,9/1/1988,5,277
Professor ACD YR,"Eco,Evol& Natrl Resources",Cook,137260,141254,1/1/2004,7,277
Asst Professor ACD YR,Statistics,Busch,116001,140947,9/1/2016,3,278
Professor ACD YR,Theater Arts,Douglass,142063,140924,9/1/1991,4,278
Professor ACD YR,Physics & Astronomy,Busch,135104,140884,7/1/2003,6,278
Professor ACD YR,"Afri,Mdle E&So Asn Lng&Lit",College Av,142439,140472,9/1/2006,4,280
Assoc Professor ACD YR,Latino & Hispan Carib Stds,Livingston,127000,140370,9/1/2016,7,280
Professor ACD YR,Philosophy,College Av,145000,140152,7/1/1971,6,281
Professor ACD YR,Political Science,Douglass,140162,139894,7/1/1968,3,282
Assoc Professor ACD YR,History,College Av,141032,139616,9/1/2004,3,283
Asst Professor ACD YR,Economics,College Av,126897,139606,9/1/2015,4,283
Professor ACD YR,Statistics,Busch,140091,139573,7/1/1964,6,283
Asst Professor ACD YR,Cell Bio & Neurosci,Busch,106096,139461,1/1/2016,8,283
Professor ACD YR,Sociology,Douglass,156131,139418,9/1/2010,9,283
Professor ACD YR,Environmental Science,Cook,133709,139270,1/1/2004,2,284
Asst Professor ACD YR,Genetics,Busch,105722,139251,1/1/2012,3,284
Assoc Professor ACD YR,Landscape Architecture,Cook,121869,139229,9/1/1988,4,284
Professor ACD YR,Sociology,Douglass,140614,139089,9/1/1995,8,284
Professor ACD YR,Mathematics,Busch,139443,138927,9/1/1982,4,285
Professor ACD YR,Economics,College Av,155110,138719,9/1/1978,4,286
Professor ACD YR,Physics & Astronomy,Busch,132429,138600,9/1/2007,7,286
Assoc Professor ACD YR,Latino & Hispan Carib Stds,Livingston,141534,138554,7/1/2010,8,286
Professor ACD YR,Marine & Coastal Sciences,Cook,118837,138517,7/1/2001,9,286
Professor ACD YR,Library & Info Science,College Av,138659,138393,9/1/2003,6,287
Assoc Professor ACD YR,Mathematics,Busch,116156,138377,9/1/2011,7,287
Professor ACD YR,Biomedical Engineering,Busch,135514,138254,11/1/1989,10,287
Assoc Professor ACD YR,Political Science,Douglass,139304,138181,7/1/1971,2,288
Professor ACD YR,Psychology,Busch,138442,138177,9/1/1993,3,288
Assoc Professor ACD YR,Marine & Coastal Sciences,Cook,105409,138172,6/25/2002,4,288
Professor ACD YR,Marine & Coastal Sciences,Cook,139287,137660,7/1/1994,10,289
Professor ACD YR,Industrial Engineering,Busch,139158,137526,9/1/1996,3,290
Assoc Professor ACD YR,Communication,College Av,111054,137328,9/1/2011,7,290
Asst Professor ACD YR,Computer Science,Busch,114977,137056,9/1/2012,8,291
Assoc Professor ACD YR,School Of Social Work,College Av,104910,137034,9/1/2001,9,291
Asst Professor ACD YR,Genetics,Busch,103742,137005,1/1/2012,10,291
Assoc Professor ACD YR,English,College Av,154001,136770,9/1/2005,3,293
Professor ACD YR,Elec & Computer ,Off Campus,114127,136661,9/1/2002,7,293
Professor ACD YR,Civil & Environ ,Busch,137343,136413,1/1/1988,6,294
Assoc Professor ACD YR,English,College Av,125260,136246,9/1/1994,6,295
Professor ACD YR,Cell Bio & Neurosci,Busch,138029,135896,9/1/1993,8,296
Professor ACD YR,Women's & Gender Studies,Douglass,134771,135783,9/1/2004,2,297
Professor ACD YR,"Eco,Evol& Natrl Resources",Cook,129686,135642,8/1/1989,4,297
Professor ACD YR,Chem & Biochem ,Busch,136215,135636,9/1/1984,5,297
Assoc Professor ACD YR,Spanish & Portuguese,College Av,127323,135481,9/1/1991,4,298
Professor ACD YR,Cell Bio & Neurosci,Busch,135650,135390,9/1/1990,8,298
Assoc Professor ACD YR,Chem & Chemical Biology,Busch,126095,135311,1/1/2003,10,298
Professor ACD YR,Mech & Aerospace ,Busch,136082,135184,9/1/1983,5,299
Asst Professor ACD YR,Molecular Bio&Biochem,Busch,102491,135085,9/1/2012,7,299
Professor ACD YR,Chem & Chemical Biology,Busch,161126,134909,9/1/2001,2,300
Asst Professor ACD YR,Physics & Astronomy,Busch,102282,134841,1/1/2015,7,300
Professor ACD YR,Plant Biology & Pathology,Cook,134761,134503,1/1/1977,9,302
Professor ACD YR,Art History,College Av,135743,134487,9/1/2005,1,303
Professor ACD YR,History,College Av,220000,134444,9/1/2017,4,303
Asst Professor ACD YR,Elec & Computer ,Busch,104881,134336,1/1/2014,7,303
Professor ACD YR,Elec & Computer ,Busch,134444,134187,1/1/1991,6,304
Assoc Professor ACD YR,Women's & Gender Studies,Douglass,125717,134126,9/1/1981,2,305
Professor ACD YR,Biomedical Engineering,Busch,135232,134105,9/1/1983,3,305
Professor ACD YR,Physics & Astronomy,Busch,134585,134078,7/1/1971,5,305
Professor ACD YR,Chem & Chemical Biology,Busch,135552,133969,9/1/1977,7,305
Assoc Professor ACD YR,Landscape Architecture,Cook,125113,133952,9/1/1997,9,305
Assoc Professor ACD YR,Asian Language & Cultures,College Av,123612,133889,9/1/2011,1,306
Assoc Professor ACD YR,English,College Av,135875,133734,1/1/2008,10,306
Professor ACD YR,Environmental Science,Cook,128614,133724,9/1/1996,2,307
Assoc Professor ACD YR,Molecular Bio&Biochem,Busch,115965,133616,9/1/2011,9,307
Asst Professor ACD YR,Elec & Computer ,Busch,102230,133564,9/1/2014,5,308
Professor ACD YR,History,College Av,127546,133558,9/1/2011,6,308
Asst Professor ACD YR,Elec & Computer ,Busch,101242,133527,9/1/2011,7,308
Assoc Professor ACD YR,Civil & Environ ,Busch,105428,133481,9/1/2011,8,308
Professor ACD YR,Entomology,Cook,117804,133438,3/1/2007,9,308
Assoc Professor ACD YR,Biomedical Engineering,Busch,117252,133390,9/1/2011,10,308
Asst Professor ACD YR,Mech & Aerospace ,Busch,102755,133375,9/1/2014,1,309
Professor ACD YR,Journalism & Media Stds,College Av,134880,133304,9/1/2004,3,309
Professor ACD YR,"Afri,Mdle E&So Asn Lng&Lit",College Av,129410,133162,9/1/2000,7,309
Professor ACD YR,Music,Douglass,134625,133052,7/1/1980,1,310
Assoc Professor ACD YR,Genetics,Busch,126844,132975,9/1/2011,4,310
Assoc Professor ACD YR,Animal Science,Cook,115354,132964,9/1/2003,5,310
Asst Professor ACD YR,Materials Science & ,Busch,102378,132936,1/1/2014,8,310
Assoc Professor ACD YR,Physics & Astronomy,Busch,115346,132860,9/1/2011,10,310
Professor ACD YR,Communication,College Av,134674,132779,9/1/2006,2,311
Professor ACD YR,Spanish & Portuguese,College Av,134126,132625,9/1/1999,1,312
